price,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,log_price,district
5850000000.0,other,4.4,8.45,56.1,43.1,2.0,4.0,3.0,certificate,other,22.489707498190175,Quận Gò Vấp
5850000000.0,other,4.4,8.45,41.7,43.0,2.0,4.0,3.0,certificate,other,22.489707498190175,Quận Gò Vấp
5850000000.0,other,4.4,8.41,52.6,42.7,2.0,4.0,3.0,certificate,other,22.489707498190175,Quận Gò Vấp
38000000000.0,other,3.95,27.1,397.04,99.5,6.0,8.0,8.0,certificate,partially_furnished,24.360851996672796,Quận 1
3600000000.0,other,2.87,6.74,9.5,4.8,2.0,1.0,2.0,certificate,other,22.004199682408476,Quận 10
6200000000.0,other,3.61,13.12,99.7,42.3,3.0,4.0,3.0,certificate,other,22.547815128997456,Quận 6
16000000000.0,other,4.0,30.91,196.6,123.0,3.0,2.0,4.0,certificate,other,23.495854559186192,Quận Bình Tân
11200000000.0,other,4.05,26.66,103.2,95.8,1.0,1.0,1.0,certificate,other,23.13917961524746,Quận 4
9000000000.0,adjacent_house,6.87,11.59,131.3,86.0,2.0,6.0,5.0,certificate,other,22.920490414282632,Quận 6
12500000000.0,shophouse,5.0,15.0,158.4,75.0,3.0,4.0,3.0,certificate,other,23.248994481254666,Quận 9
32000000000.0,other,17.8,8.7,459.89,143.0,4.0,7.0,5.0,certificate,other,24.18900173974614,Quận Tân Phú
18000000000.0,other,4.5,24.97,92.7,130.3,1.0,1.0,1.0,certificate,other,23.613637594842576,Quận 12
6400000000.0,other,3.95,11.21,59.2,44.9,2.0,1.0,2.0,certificate,other,22.579563827312036,Quận Bình Thạnh
3850000000.0,other,3.03,8.68,41.8,20.9,2.0,2.0,2.0,certificate,other,22.071338985246104,Quận Gò Vấp
6500000000.0,alley_house,5.25,223.96,80.8,99.8,1.0,1.0,1.0,certificate,other,22.595068013848003,Quận 12
17000000000.0,other,4.0,24.35,372.0,94.0,6.0,12.0,12.0,certificate,other,23.556479181002626,Quận Gò Vấp
3990000000.0,other,4.03,12.53,50.0,50.0,1.0,1.0,1.0,certificate,other,22.10705706784818,Quận Bình Tân
5850000000.0,other,4.24,13.58,111.0,58.5,2.0,2.0,2.0,certificate,other,22.489707498190175,Quận Bình Tân
3100000000.0,other,3.0,8.02,48.2,24.1,2.0,2.0,2.0,certificate,other,21.854667948437513,Quận Bình Tân
4650000000.0,other,4.22,10.57,84.8,43.7,2.0,2.0,2.0,certificate,other,22.260133056545676,Quận Bình Tân
4990000000.0,other,3.95,13.69,74.89,55.1,2.0,2.0,2.0,certificate,other,22.33070174670984,Quận Bình Tân
6700000000.0,other,3.98,16.98,189.7,67.1,4.0,3.0,4.0,certificate,other,22.625373363343332,Quận 8
4600000000.0,other,3.92,13.0,80.3,55.5,2.0,2.0,3.0,certificate,other,22.24932214044146,Quận Bình Tân
5950000000.0,other,3.26,9.45,88.6,31.6,4.0,3.0,3.0,certificate,other,22.50665705650395,Quận Bình Thạnh
8500000000.0,other,4.26,24.5,48.52,82.23,1.0,1.0,1.0,certificate,other,22.863332000442682,Quận 12
5000000000.0,other,4.0,14.0,52.6,52.6,3.0,3.0,4.0,certificate,other,22.33270374938051,Quận 12
5700000000.0,other,3.99,12.99,142.8,49.6,3.0,3.0,4.0,certificate,other,22.463732011786917,Quận 12
5700000000.0,other,4.0,13.55,151.6,49.0,4.0,3.0,4.0,certificate,other,22.463732011786917,Quận 12
4250000000.0,other,3.8,9.2,68.3,34.2,2.0,2.0,2.0,certificate,other,22.170184819882735,Quận Tân Bình
21500000000.0,other,3.5,21.8,156.8,68.25,3.0,3.0,4.0,certificate,other,23.79131877208003,Quận Tân Bình
5950000000.0,other,3.5,11.06,129.4,41.9,4.0,3.0,5.0,certificate,other,22.50665705650395,Quận Gò Vấp
7800000000.0,other,4.0,12.8,176.9,68.9,4.0,5.0,5.0,certificate,other,22.777389570641958,Quận Bình Tân
11300000000.0,other,5.3,21.54,215.0,112.3,3.0,4.0,4.0,certificate,other,23.148068562664704,Quận Bình Tân
14000000000.0,other,3.0,21.0,312.1,72.0,6.0,11.0,11.0,certificate,other,23.36232316656167,Quận Bình Thạnh
4390000000.0,other,3.5,9.6,63.6,31.8,2.0,2.0,2.0,certificate,other,22.202595064033492,Quận Gò Vấp
4160000000.0,other,3.45,10.06,61.3,33.7,2.0,2.0,2.0,certificate,other,22.148780911219582,Quận Gò Vấp
3790000000.0,other,4.05,6.09,53.46,24.62,2.0,1.0,2.0,certificate,other,22.055631856040748,Quận Gò Vấp
5300000000.0,other,5.21,11.47,99.2,62.9,2.0,3.0,2.0,certificate,partially_furnished,22.390972657504488,Quận Bình Tân
10500000000.0,other,4.1,14.16,83.75,43.24,2.0,3.0,2.0,certificate,furnished,23.07464109410989,Quận Gò Vấp
4800000000.0,other,4.0,10.01,94.0,40.0,4.0,3.0,3.0,certificate,other,22.291881754860256,Quận Bình Tân
10000000000.0,other,4.0,14.0,199.2,56.0,4.0,4.0,4.0,certificate,partially_furnished,23.025850929940457,Quận Tân Phú
4200000000.0,other,3.99,10.08,83.3,39.9,2.0,2.0,3.0,certificate,other,22.158350362235733,Quận Bình Tân
3880000000.0,other,3.95,9.99,50.4,25.2,2.0,3.0,2.0,certificate,other,22.079100990581594,Quận Bình Tân
2780000000.0,alley_house,4.63,3.44,32.2,16.1,2.0,1.0,1.0,certificate,other,21.745716764648957,Quận 3
4850000000.0,other,4.0,8.15,98.1,32.7,3.0,3.0,2.0,certificate,other,22.302244541895803,Quận Tân Phú
4800000000.0,alley_house,4.5,13.07,48.6,57.6,1.0,1.0,1.0,certificate,other,22.291881754860256,Quận 2
6680000000.0,other,4.3,10.52,220.8,48.3,5.0,4.0,4.0,certificate,other,22.622383824494964,Quận Tân Phú
9000000000.0,other,6.05,12.98,172.9,78.0,3.0,3.0,3.0,certificate,other,22.920490414282632,Quận Bình Tân
9000000000.0,other,4.0,12.12,168.0,48.2,4.0,3.0,4.0,certificate,other,22.920490414282632,Quận Bình Tân
8800000000.0,other,11.76,14.72,168.5,160.6,2.0,9.0,9.0,certificate,partially_furnished,22.89801755843057,Quận 12
